,,NO MOVE,NORTH,EAST,SOUTH,WEST
1,1,0.015050543695196478,0.0,0.0004610814164439566,0.2281620976120058,0.0
1,2,0.0,0.0,0.0,0.0,0.14470590476411826
1,3,-0.1,0.0,-0.1,-0.1,0.06864878414596137
1,4,-0.1791410174369275,0.0,-0.02450738508683811,0.0,-0.0759045173787063
1,5,-0.16135901734089766,0.0,-0.19830636795531814,-0.1663217787726753,-0.03094623963014671
1,6,-0.407617089205306,0.0,-0.2893803167067663,0.0,-0.32364509475353753
1,7,-0.05024133002501964,0.0,-0.43372695264884426,-0.3300925136970759,-0.37647201142790965
1,8,-0.21057379518315675,0.0,-0.12004367105154853,0.0,-0.13905677760657312
1,9,0.6944323199302007,0.0,0.6643689828293489,1.3474007099535292,0.5981703255793848
1,10,0.8766746014808491,0.0,0.9224117663666361,0.0,0.7885095551864371
1,11,0.6518164607878238,0.0,0.6510770681915383,-0.10287608911492291,0.5446810342281029
1,12,0.526830248731039,0.0,0.6824072336365664,0.0,0.5533257574702041
1,13,0.0,0.0,0.0,0.0,1.0656118623670592
2,1,0.15310657994226542,0.04312111177289791,0.0,0.2351952844845187,0.0
2,2,0.0,0.0,0.0,0.0,0.0
2,3,-0.1,0.0,0.0,-0.1,0.0
2,4,0.0,0.0,0.0,0.0,0.0
2,5,-0.23136167908219454,0.019698750949995545,0.0,-0.0042783958018859924,0.0
2,6,0.0,0.0,0.0,0.0,0.0
2,7,-0.1,-0.03887884350793959,0.0,-0.0434655200430384,0.0
2,8,0.0,0.0,0.0,0.0,0.0
2,9,0.099,1.938549891857077,0.0,-0.1,0.0
2,10,0.0,0.0,0.0,0.0,0.0
2,11,-0.1,0.5458191868065871,0.0,-0.09913499379060649,0.0
2,12,0.0,0.0,0.0,0.0,0.0
2,13,0.0,0.0,0.0,0.0,0.0
3,1,0.242345768333233,0.21849118375258117,0.24369288542567022,0.6484844363471147,0.0
3,2,0.02253149293604213,0.0,0.0,0.0,0.38469999574058844
3,3,0.0,-0.1,-0.1,0.0,0.05356870852593674
3,4,-0.1,0.0,-0.07064808865516317,-0.2,-0.1
3,5,-0.18935299619685847,0.043769174628053416,-0.014342824051106172,-0.2569812789850401,-0.17099999999999999
3,6,-0.17661182357190855,0.0,-0.17929655246787377,-0.23880945919664281,-0.112482447927655
